Frequency,Distance,Transmitter Height,Receiver Height,Antenna Gain,Environment,Obstacle Distance,Path Characteristics,Weather Conditions,Shadowing Effects,Frequency Bandwidth,Path Loss
2171407025.9215174,368.85358121043777,42.02935458753938,2.2879914144236366,14.207687748938449,rural,46.06629957039545,NLOS,rainy,-3.3376956254972914,74850605.8586131,323.53524687235114
2557607816.9533587,145.40886980554762,27.10470246262973,2.348117299581515,19.14988443047779,urban,4.21745950574709,LOS,rainy,3.2089555972929675,32638686.656710036,302.1019295054888
3581872486.5162363,60.76621259651009,35.515670031430844,3.815245859978973,17.524410335436365,urban,51.37255759947477,LOS,rainy,-2.9248746364435974,58257317.084256075,306.73577222906096
1868877541.2258306,206.79408809073882,42.936579581754444,5.319496936797375,16.790897319511124,urban,59.81907835343109,LOS,rainy,-1.9413501001004918,67333241.0607044,319.4482950446779
1119490401.2431698,186.45572043616662,40.52864225747875,9.723401186770417,9.560728112644643,suburban,54.45854001024202,NLOS,clear,-2.907063386670588,71146062.37407917,344.803098110136
4783853105.260286,83.02046333944502,36.25178196931126,8.537739014852196,13.032609835142523,suburban,29.416284252285617,NLOS,foggy,-0.3567903521970331,37369321.19045809,352.07008478295415
1150394519.3539753,354.34968604320295,18.249441687567643,5.628734603735319,17.976570694779852,rural,2.7251641027951634,LOS,foggy,0.16735227484166307,85720092.77395743,284.23290853058216
1880494966.127825,136.19596306695365,32.35403180831615,5.200133675729732,16.147545866905784,urban,64.34326553550618,LOS,clear,9.067354630794949,39609956.48685081,318.0197654942271
5502241173.640526,305.5759061760803,28.95585961371462,3.284338499840945,9.80422763530887,urban,52.07624157028391,NLOS,foggy,-7.08554258264695,18782707.538826726,360.1322979890139
2593119208.076409,70.12286549179959,40.711650451847696,9.239603978497735,18.084240531353487,urban,16.538878648753,NLOS,clear,1.3787761028649324,66995553.080833696,344.9099672667021
3278036263.8792496,23.196972979386402,30.57259290147694,9.10264879398773,11.507283675135657,rural,99.11684114945287,LOS,foggy,-3.0752242530761618,87579608.30600716,291.2641087806941
3273537080.109106,453.1143044581253,21.47150507849186,9.588462821725852,9.37361786769706,rural,69.58105187719977,LOS,foggy,-0.5821233892239033,81896416.7078981,315.8317432129953
4429726163.899378,204.51336012940666,24.938390421115443,4.795475476757765,13.797459683090937,rural,38.72889459312169,NLOS,rainy,5.22123648522211,68165736.96995808,334.3283007703418
2795233805.9396048,335.3289724469358,21.9653205482007,8.541775061410918,6.408049642486859,rural,72.32276787846781,NLOS,foggy,2.367403130040829,75601592.03450213,351.8804375708096
1410506751.5018601,84.03775450566377,46.02821072514266,7.746574141532502,18.295189531518417,rural,66.6744165336336,LOS,foggy,-1.469797092013967,37123848.35967119,285.11865259633976
3307291495.9030333,429.2210082832533,45.496787414982386,8.087841087105563,9.424325257833267,rural,97.07080952947022,LOS,foggy,5.501231890868084,49428931.64691082,327.0831355382466
5648082075.519509,299.27734148871116,22.546400296948182,3.7820916957417805,6.595701003416483,urban,25.566507080248,LOS,foggy,-4.285507770651709,47662719.33886436,331.63291217730466
